model,val_acc,val_macro_f1,val_roc_auc,test_acc,test_macro_f1,test_roc_auc
LinearSVM,0.8774341351660939,0.8044504497505444,,0.8748257164988381,0.7901051574915579,
LogisticRegression,0.8583428789614357,0.7880853992838102,0.9112456737261554,0.8601084430673896,0.7834860153205114,0.9071061840973439
RandomForest,0.8755250095456281,0.7417391020273835,0.8991277098450458,0.8771494965143299,0.7312603776802287,0.8941208670973536
MultinomialNB,0.8552882779686903,0.6508792200186765,0.8769589152998148,0.866305189775368,0.6665671874600654,0.8727995752515094
